Date,Open,High,Low,Close,Adj Close,Volume
2020-09-10,33050.000000,33150.000000,32500.000000,32500.000000,31655.843750,267846
2020-09-11,32350.000000,32750.000000,32300.000000,32500.000000,31655.843750,173448
2020-09-14,32650.000000,33950.000000,32600.000000,33600.000000,32727.271484,419536
2020-09-15,33450.000000,34200.000000,33000.000000,34200.000000,33311.687500,380679
2020-09-16,34500.000000,34600.000000,33600.000000,33850.000000,32970.777344,458229
2020-09-17,33850.000000,33850.000000,33150.000000,33250.000000,32386.363281,218497
2020-09-18,33100.000000,33550.000000,32950.000000,33000.000000,32142.857422,223242
2020-09-21,33000.000000,33500.000000,32850.000000,33200.000000,32337.662109,202691
2020-09-22,33100.000000,33200.000000,32150.000000,32250.000000,31412.337891,211696
2020-09-23,32350.000000,32800.000000,32050.000000,32450.000000,31607.142578,187573
2020-09-24,32350.000000,32400.000000,31800.000000,32150.000000,31314.935547,215669
2020-09-25,32100.000000,32350.000000,31850.000000,32050.000000,31217.531250,136337
2020-09-28,32300.000000,32750.000000,32050.000000,32750.000000,31899.349609,175138
2020-09-29,33000.000000,33750.000000,32850.000000,33500.000000,32629.869141,311684
2020-10-05,33200.000000,33850.000000,33050.000000,33650.000000,32775.972656,206357
2020-10-06,33550.000000,34050.000000,33300.000000,33450.000000,32581.167969,219436
2020-10-07,33200.000000,33450.000000,32700.000000,33250.000000,32386.363281,180772
2020-10-08,33300.000000,33450.000000,32950.000000,32950.000000,32094.156250,213722
2020-10-12,33600.000000,36200.000000,33500.000000,36150.000000,35211.039063,1868585
2020-10-13,36300.000000,36450.000000,35350.000000,36150.000000,35211.039063,696331
2020-10-14,36150.000000,36150.000000,34650.000000,34650.000000,33750.000000,739178
2020-10-15,34400.000000,34700.000000,33950.000000,34400.000000,33506.492188,371783
2020-10-16,34600.000000,34800.000000,33800.000000,34400.000000,33506.492188,325913
2020-10-19,34600.000000,36550.000000,34600.000000,35950.000000,35016.234375,1065599
2020-10-20,36200.000000,36950.000000,35600.000000,36550.000000,35600.648438,617475
2020-10-21,36750.000000,36750.000000,36000.000000,36700.000000,35746.753906,260005
2020-10-22,36450.000000,36450.000000,35500.000000,36100.000000,35162.335938,301899
2020-10-23,35800.000000,35800.000000,35100.000000,35500.000000,34577.921875,231999
2020-10-26,35350.000000,35500.000000,34200.000000,34350.000000,33457.792969,315112
2020-10-27,33950.000000,34600.000000,33600.000000,34300.000000,33409.089844,290741
2020-10-28,33900.000000,33950.000000,33400.000000,33950.000000,33068.179688,339980
